"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "h"
281, -2.731971733671347e+01, -1.081235979978929e+02, 2.244650911694448e-01, 4.489301823388896e-01, 3.660948665446593e-06, 2.388363802582445e-06, 0.000000000000000e+00
282, -2.679133974894983e+01, -1.077836037248992e+02, 2.077532274348808e-01, 4.155064548697617e-01, 3.749698242942055e-06, 2.379630864938345e-06, 0.000000000000000e+00
283, -2.625873149806479e+01, -1.074502759102654e+02, 1.910620001465504e-01, 3.821240002931008e-01, 3.705078277689980e-06, 2.286516722599558e-06, 0.000000000000000e+00
284, -2.572197668907532e+01, -1.071236671903174e+02, 1.734965996960715e-01, 3.469931993921431e-01, 3.828572012881794e-06, 2.296801839488325e-06, 0.000000000000000e+00
285, -2.518116008178803e+01, -1.068038291403582e+02, 1.570836863642837e-01, 3.141673727285674e-01, 3.991448791223331e-06, 2.326810663302548e-06, 0.000000000000000e+00
286, -2.463636707741457e+01, -1.064908122665237e+02, 1.452110287369801e-01, 2.904220574739603e-01, 3.900742603223653e-06, 2.208731802492028e-06, 0.000000000000000e+00
287, -2.408768370508575e+01, -1.061846659978068e+02, 1.257887072694228e-01, 2.515774145388456e-01, 3.848061196763994e-06, 2.115489544843402e-06, 0.000000000000000e+00
288, -2.353519660826660e+01, -1.058854386782523e+02, 1.003071178063565e-01, 2.006142356127131e-01, 4.115630589262837e-06, 2.195696209667388e-06, 0.000000000000000e+00
289, -2.297899303107437e+01, -1.055931775593228e+02, 7.946537015986162e-02, 1.589307403197232e-01, 4.281908211590834e-06, 2.215739238836291e-06, 0.000000000000000e+00
290, -2.241916080450158e+01, -1.053079287924368e+02, 6.018132346195012e-02, 1.203626469239002e-01, 4.247925144741313e-06, 2.130913030706175e-06, 0.000000000000000e+00
291, -2.185578833254661e+01, -1.050297374216814e+02, 3.706085247163664e-02, 7.412170494327329e-02, 4.394690839714504e-06, 2.135843272262436e-06, 0.000000000000000e+00
292, -2.128896457825359e+01, -1.047586473766990e+02, 1.247863825478249e-02, 2.495727650956498e-02, 4.654109798107855e-06, 2.190057831829447e-06, 0.000000000000000e+00
293, -2.071877904966416e+01, -1.044947014657502e+02, -9.700515335894508e-03, -1.940103067178902e-02, 4.861392082618077e-06, 2.213414957771298e-06, 0.000000000000000e+00
294, -2.014532178568308e+01, -1.042379413689541e+02, -2.394585729859229e-02, -4.789171459718459e-02, 4.902513077058928e-06, 2.158178771897900e-06, 0.000000000000000e+00
295, -1.956868334186007e+01, -1.039884076317065e+02, -3.216053207872680e-02, -6.432106415745360e-02, 4.730164487680796e-06, 2.011734135898311e-06, 0.000000000000000e+00
